row_id,page,hanzi,wupin,alt_wupin,note,legacy_ipa_ocr,has_wupin,source
r00017,123,扫帚星,sau33tseu33shin33,sau5,彗星,tlsɒtsɤɕiŋ,True,result_all_converted.xlsx
r00018,123,射星,zo11shin11,2o6,流星,lzoɕiŋi,True,result_all_converted.xlsx
r00019,123,天河,thien33gho52,,银河,ktʰẽɦo,True,result_all_converted.xlsx
r00020,123,风,fon52,,,lfoŋ,True,result_all_converted.xlsx
r00021,123,大风,do11fon11,do6,,kdofoŋ,True,result_all_converted.xlsx
r00022,123,暴风,pau33fon33,bau4;bau6;bau6;boq8,（1）狂风。（2）台风。“暴”，或以为是“报”的训读。因为无论是因冬季冷空气南下引发的寒潮还是夏季大洋上吹来的台风，出没都是有一定规律的。,lpɒfoŋlllʔll,True,result_all_converted.xlsx
r00023,123,风暴,fon33pau55,bau4;bau6;bau6;boq8,（1）狂风。（3）台风。“暴”，或以为是“报”的训读。因为无论是因冬季冷空气南下引发的寒潮还是夏季大洋上吹来的台风，出没都是有一定规律的。,foŋpɒ,True,result_all_converted.xlsx
r00024,123,台风,de11fon52,de2,,difoŋ,True,result_all_converted.xlsx
r00025,123,乌风猛暴,u33fon55man55pau52,bau4;bau6;bau6;boq8,指夏季刮台风时阴云密布、狂风拔树倒屋的景象。,lufoŋmaŋplzi,True,result_all_converted.xlsx
r00026,124,龙风,lon11fon52,,龙卷风,,True,result_all_converted.xlsx
r00027,124,鬼子头风,ciu335tseq5deu55fon52,kue3tsy3;tseq7,旋风,ltytsʔdɤfoŋ,True,result_all_converted.xlsx
r00028,124,顺风,zeen11fon11,,,lzẽfoŋ,True,result_all_converted.xlsx
r00029,124,顶头风,tin335deu55fon52,tin3,顶头风,ltiŋdɤfoŋ,True,result_all_converted.xlsx
r00030,124,斗风,teu335fon52,teu5,顶头风,ktɤfoŋ,True,result_all_converted.xlsx
r00031,124,斗头风,teu335deu55fon52,teu5,顶头风,tɤdfoŋ,True,result_all_converted.xlsx
r00032,124,穿堂风,tsheen33daon55fon52,tshoen1,,ltsʰdɒŋfoŋ,True,result_all_converted.xlsx
r00033,124,云,yoen231,yoen2,云彩,zɦiø̃z,True,result_all_converted.xlsx
r00034,124,云头,yoen11deu52,yoen2,云块,zɦidɤtk,True,result_all_converted.xlsx
r00035,124,乌云,u33yoen52,yoen2,,luɦi,True,result_all_converted.xlsx
r00036,124,鱼厣云,yu11ieen55yoen52,ng2yoen2,鱼鳞云,,True,result_all_converted.xlsx
r00037,124,瓦爿云,ngo115baen55yoen52,yoen2,,,True,result_all_converted.xlsx
r00038,124,火烧云,hu335sau55yoen52,yoen2,霞,kzhusɒɦit,True,result_all_converted.xlsx
r00039,124,大雷,do11le11,do6,雷,doll,True,result_all_converted.xlsx
r00040,124,大雷公公,do11lo11kuon11kuon11,do6,对雷的拟人称呼：~响，背得老娘踏踏抢。,kdolkuoŋkuoŋli,True,result_all_converted.xlsx
r00041,124,霹雳雷,phiq3liq5le52,,霹雳,,True,result_all_converted.xlsx
r00042,124,沉雷,dzeen11le11,dzeen6;dzeen6,雷,idzẽl,True,result_all_converted.xlsx
r00043,124,响雷,shian335le52,,,lŋlɕiaŋl,True,result_all_converted.xlsx
r00044,124,霍闪,huoq3seen55,huaq7;huaeq7;hoq7;hoq7;bonyseen3;soen3,闪电,lhuoʔsẽhuasẽl,True,result_all_converted.xlsx
r00045,124,霍闪娘娘,huoq3seen55gnian55gnian52,huaq7;huaeq7;hoq7;hoq7;bonyseen3;soen3,闪电的拟人称呼,huoʔsniaŋŋiaŋhuaʔsẽniaŋniaŋtl,True,result_all_converted.xlsx
r00046,124,鲎,heu33,,虹,,True,result_all_converted.xlsx
r00047,124,雨,yu113,,,lɦy,True,result_all_converted.xlsx
r00048,124,大雨,do11yu11,do6,,idoɦy,True,result_all_converted.xlsx
r00049,124,呆大雨,nge11do55yu52,te1;nge2do6,,lŋdolɦy,True,result_all_converted.xlsx
r00050,124,阵头,dzeen11deu11,,雷阵雨,fdzdɤɦy,True,result_all_converted.xlsx
r00051,124,赶狗阵,keen335keu55dzeen52,,持续时间短的雷阵雨,ttkẽkdzẽll,True,result_all_converted.xlsx
r00052,124,时雨,zy11yu55,,连阴雨,lziɦykil,True,result_all_converted.xlsx
r00053,125,毛稍雨,mau11sau55yu52,mhau1;mau2,细雨,flmɒsɒɦyl,True,result_all_converted.xlsx
r00054,125,磨碎雨,mo11se55yu52,mo2;mo2;mo2;mo6,细雨,lmosɦy,True,result_all_converted.xlsx
r00055,125,雨毛丝,yu115mau55sy52,mhau1;mau2,毛毛雨,ɦymɒsi,True,result_all_converted.xlsx
